-9223372036854775410	-9223372036854775635	tool.criteriaset.load	\N
-9223372036854775409	-9223372036854775635	tool.database.load	\N
-9223372036854775408	-9223372036854775635	tool.activeDirPreferences.load	\N
-9223372036854775407	-9223372036854775635	tool.sunOnePreferences.load	\N
-9223372036854775406	-9223372036854775635	tool.eDirPreferences.load	\N
-9223372036854775405	-9223372036854775635	tool.ldapDirPreferences.load	\N
-9223372036854775404	-9223372036854775635	tool.nodeType.load	\N
-9223372036854775403	-9223372036854775635	tool.collectSupportData.load	\N
-9223372036854775402	-9223372036854775635	tool.logManagementPreferences.load	\N
-9223372036854775401	-9223372036854775635	manage.homePages	\N
-9223372036854775400	-9223372036854775635	manage.own.homePage	\N
-9223372036854775399	-9223372036854775635	remediation.work.order.create	\N
-9223372036854775398	-9223372036854775635	remediation.work.order.update	\N
-9223372036854775397	-9223372036854775635	remediation.work.order.delete	\N
-9223372036854775396	-9223372036854775635	remediation.action.approve	\N
-9223372036854775395	-9223372036854775635	remediation.work.order.close	\N
-9223372036854775394	-9223372036854775635	remediation.work.order.assign	\N
-9223372036854775393	-9223372036854775635	post.remediation.command.update	\N
