-9223372036853275807	-9223372036854775105	-9223372036854775789
-9223372036853275805	-9223372036854775105	-9223372036854775789
-9223372036852775808	-9223372036854774467	-9223372036854775725
-9223372036852275808	-9223372036854774467	-9223372036854775725
-9223372036851775808	-9223372036854774467	-9223372036854775725
-9223372036851775807	-9223372036854775105	-9223372036854775789
-9223372036851775805	-9223372036854775105	-9223372036854775789
-9223372036851775803	-9223372036854775134	-9223372036854775636
-9223372036851775802	-9223372036854775134	-9223372036854775636
-9223372036851775801	-9223372036854775134	-9223372036854775636
-9223372036851775800	-9223372036854775134	-9223372036854775636
-9223372036851775799	-9223372036854775134	-9223372036854775636
-9223372036851775798	-9223372036854775134	-9223372036854775636
-9223372036851275808	-9223372036854774467	-9223372036854775725
-9223372036850775808	-9223372036854774467	-9223372036854775725
-9223372036850775807	-9223372036854775134	-9223372036854775636
-9223372036850775806	-9223372036854775134	-9223372036854775636
